"CustomID","OBJECTID","Shape","DEPCODE","Country","State","County","City","Cases"
"11Naples",243,"Point",11,"USA","Florida","Collier","Naples","5325"
"11Naples Manor",533,"Point",11,"USA","Florida","Collier","Naples Manor","0"
"11Naples Park",698,"Point",11,"USA","Florida","Collier","Naples Park","0"
"11North Naples",704,"Point",11,"USA","Florida","Collier","North Naples","0"
"11Ochopee",57,"Point",11,"USA","Florida","Collier","Ochopee","19"
"11Old Grove",1248,"Point",11,"USA","Florida","Collier","Old Grove","0"
"11Old Marco Junction",1250,"Point",11,"USA","Florida","Collier","Old Marco Junction","0"
"11Orangetree",1239,"Point",11,"USA","Florida","Collier","Orangetree","0"
"11Palm River",697,"Point",11,"USA","Florida","Collier","Palm River","0"
"11Rock Island",1236,"Point",11,"USA","Florida","Collier","Rock Island","0"
"11Royal Palm Hammock",1249,"Point",11,"USA","Florida","Collier","Royal Palm Hammock","0"
"11Sunniland",691,"Point",11,"USA","Florida","Collier","Sunniland","0"
"11Verona Walk",1411,"Point",11,"USA","Florida","Collier","Verona Walk","0"
"11Vineyards",1413,"Point",11,"USA","Florida","Collier","Vineyards","0"
"12Bass",1293,"Point",12,"USA","Florida","Columbia","Bass","0"
"12Columbia",910,"Point",12,"USA","Florida","Columbia","Columbia","0"
"12Ellisville",1294,"Point",12,"USA","Florida","Columbia","Ellisville","0"
"12Five Points",882,"Point",12,"USA","Florida","Columbia","Five Points","0"
"12Fort White",448,"Point",12,"USA","Florida","Columbia","Fort White","49"
"12Hollingsworth Bluff",1296,"Point",12,"USA","Florida","Columbia","Hollingsworth Bluff","0"
"12Lake City",426,"Point",12,"USA","Florida","Columbia","Lake City","1185"
"12Lulu",902,"Point",12,"USA","Florida","Columbia","Lulu","2"
"12Mason",1297,"Point",12,"USA","Florida","Columbia","Mason","0"
"12Mikesville",1295,"Point",12,"USA","Florida","Columbia","Mikesville","0"
"12Mt Carrie",1298,"Point",12,"USA","Florida","Columbia","Mt Carrie","0"
"12Newco",1252,"Point",12,"USA","Florida","Columbia","Newco","0"
"12Watertown",893,"Point",12,"USA","Florida","Columbia","Watertown","0"
"12Welburn",1253,"Point",12,"USA","Florida","Columbia","Welburn","0"
"12Winfield",880,"Point",12,"USA","Florida","Columbia","Winfield","0"
"13Aladdin City",1312,"Point",13,"USA","Florida","Dade","Aladdin City","0"
"13Alameda",1343,"Point",13,"USA","Florida","Dade","Alameda","0"
"13Allapattah",1324,"Point",13,"USA","Florida","Dade","Allapattah","0"
"13Andover",696,"Point",13,"USA","Florida","Dade","Andover","0"
"13Anglers Park",1329,"Point",13,"USA","Florida","Dade","Anglers Park","0"
"13Aventura",232,"Point",13,"USA","Florida","Dade","Aventura","467"
"13Bal Harbour",235,"Point",13,"USA","Florida","Dade","Bal Harbour","33"
"13Bay Harbor Islands",238,"Point",13,"USA","Florida","Dade","Bay Harbor Islands","8"
"13Biscayne Gardens",1398,"Point",13,"USA","Florida","Dade","Biscayne Gardens","0"
"13Biscayne Park",236,"Point",13,"USA","Florida","Dade","Biscayne Park","33"
"13Brownsville",1395,"Point",13,"USA","Florida","Dade","Brownsville","0"
"13Bunche Park",700,"Point",13,"USA","Florida","Dade","Bunche Park","0"
"13Carol City",1317,"Point",13,"USA","Florida","Dade","Carol City","87"
"13Coconut Grove",1332,"Point",13,"USA","Florida","Dade","Coconut Grove","38"
"13Coral Gables",252,"Point",13,"USA","Florida","Dade","Coral Gables","706"
"13Coral Terrace",709,"Point",13,"USA","Florida","Dade","Coral Terrace","0"
"13Country Club",702,"Point",13,"USA","Florida","Dade","Country Club","0"
"13Country Walk",1405,"Point",13,"USA","Florida","Dade","Country Walk","0"
"13Cutler",1326,"Point",13,"USA","Florida","Dade","Cutler","0"
"13Cutler Bay",1310,"Point",13,"USA","Florida","Dade","Cutler Bay","28"
"13Cutler Ridge",256,"Point",13,"USA","Florida","Dade","Cutler Ridge","3"
"13Doral",245,"Point",13,"USA","Florida","Dade","Doral","1172"
"13El Portal",1391,"Point",13,"USA","Florida","Dade","El Portal","35"
"13Fisher Island",1414,"Point",13,"USA","Florida","Dade","Fisher Island","3"
"13Florida City",257,"Point",13,"USA","Florida","Dade","Florida City","700"
"13Garden Cove",1328,"Point",13,"USA","Florida","Dade","Garden Cove","0"
"13Gladeview",1392,"Point",13,"USA","Florida","Dade","Gladeview","0"
"13Glenvar Heights",712,"Point",13,"USA","Florida","Dade","Glenvar Heights","0"
"13Golden Beach",1415,"Point",13,"USA","Florida","Dade","Golden Beach","12"
"13Golden Glades",701,"Point",13,"USA","Florida","Dade","Golden Glades","0"
"13Green-mar Acres",1315,"Point",13,"USA","Florida","Dade","Green-mar Acres","0"
"13Hialeah",241,"Point",13,"USA","Florida","Dade","Hialeah","11757"
"13Hialeah Estates",1396,"Point",13,"USA","Florida","Dade","Hialeah Estates","0"
"13Hialeah Gardens",242,"Point",13,"USA","Florida","Dade","Hialeah Gardens","17"
"13Homestead",258,"Point",13,"USA","Florida","Dade","Homestead","5715"
"13Indian Creek Village",705,"Point",13,"USA","Florida","Dade","Indian Creek Village","1"
"13Inlikita",1331,"Point",13,"USA","Florida","Dade","Inlikita","0"
"13Ives Estates",699,"Point",13,"USA","Florida","Dade","Ives Estates","0"
"13Kendale Lakes",714,"Point",13,"USA","Florida","Dade","Kendale Lakes","0"
"13Kendall",254,"Point",13,"USA","Florida","Dade","Kendall","15"
"13Kendall West",1404,"Point",13,"USA","Florida","Dade","Kendall West","0"
"13Key Biscayne",251,"Point",13,"USA","Florida","Dade","Key Biscayne","215"
"13Keystone Islands",1321,"Point",13,"USA","Florida","Dade","Keystone Islands","0"
"13Kings Bay",1316,"Point",13,"USA","Florida","Dade","Kings Bay","0"
"13Lake Lucerne",1322,"Point",13,"USA","Florida","Dade","Lake Lucerne","0"
"13Lakes By The Bay",718,"Point",13,"USA","Florida","Dade","Lakes By The Bay","0"
"13Leisure City",716,"Point",13,"USA","Florida","Dade","Leisure City","3"
"13Lindgren",1311,"Point",13,"USA","Florida","Dade","Lindgren","0"
"13Lindgren Acres",713,"Point",13,"USA","Florida","Dade","Lindgren Acres","0"
"13Ludlam",1334,"Point",13,"USA","Florida","Dade","Ludlam","0"
"13Medley",1335,"Point",13,"USA","Florida","Dade","Medley","80"
"13Miami",249,"Point",13,"USA","Florida","Dade","Miami","52087"
"13Miami Beach",244,"Point",13,"USA","Florida","Dade","Miami Beach","2522"
"13Miami Gardens",233,"Point",13,"USA","Florida","Dade","Miami Gardens","2189"
"13Miami Lakes",240,"Point",13,"USA","Florida","Dade","Miami Lakes","437"
"13Miami Shores",239,"Point",13,"USA","Florida","Dade","Miami Shores","11"
"13Miami Springs",250,"Point",13,"USA","Florida","Dade","Miami Springs","17"
"13Modello",1327,"Point",13,"USA","Florida","Dade","Modello","0"
"13Naranja",1467,"Point",13,"USA","Florida","Dade","Naranja","17"
"13Newport",1330,"Point",13,"USA","Florida","Dade","Newport","0"
"13Norland",1323,"Point",13,"USA","Florida","Dade","Norland","0"
"13North Bay Village",246,"Point",13,"USA","Florida","Dade","North Bay Village","15"
"13North Miami",237,"Point",13,"USA","Florida","Dade","North Miami","799"
"13North Miami Beach",234,"Point",13,"USA","Florida","Dade","North Miami Beach","1257"
"13Ocean View Heights",1333,"Point",13,"USA","Florida","Dade","Ocean View Heights","0"
"13Olympia Heights",711,"Point",13,"USA","Florida","Dade","Olympia Heights","0"
"13Opa Locka",1319,"Point",13,"USA","Florida","Dade","Opa Locka","1688"
"13Palm Springs North",1397,"Point",13,"USA","Florida","Dade","Palm Springs North","0"
"13Palmetto Bay",255,"Point",13,"USA","Florida","Dade","Palmetto Bay","130"
"13Palmetto Estates",715,"Point",13,"USA","Florida","Dade","Palmetto Estates","0"
"13Pennsuco",1320,"Point",13,"USA","Florida","Dade","Pennsuco","0"
"13Perdido Key",1472,"Point",13,"USA","Florida","Escambia","Perdido Key","0"
"13Perrine",1339,"Point",13,"USA","Florida","Dade","Perrine","3"
"13Pinecrest",1314,"Point",13,"USA","Florida","Dade","Pinecrest","270"
"13Pinewood",1394,"Point",13,"USA","Florida","Dade","Pinewood","0"
"13Pinewood Park",1410,"Point",13,"USA","Florida","Dade","Pinewood Park","0"
"13Princeton",1340,"Point",13,"USA","Florida","Dade","Princeton","22"
"13Redland",1336,"Point",13,"USA","Florida","Dade","Redland","0"
"13Richmond Heights",1407,"Point",13,"USA","Florida","Dade","Richmond Heights","0"
"13Richmond West",1408,"Point",13,"USA","Florida","Dade","Richmond West","0"
"13Shenandoah",1325,"Point",13,"USA","Florida","Dade","Shenandoah","0"
"13Silver Palm",1337,"Point",13,"USA","Florida","Dade","Silver Palm","0"
"13South Allapattah",1313,"Point",13,"USA","Florida","Dade","South Allapattah","0"
"13South Miami",253,"Point",13,"USA","Florida","Dade","South Miami","348"
"13South Miami Heights",717,"Point",13,"USA","Florida","Dade","South Miami Heights","0"
"13Sunny Isles Beach",1318,"Point",13,"USA","Florida","Dade","Sunny Isles Beach","19"
"13Surfside",1341,"Point",13,"USA","Florida","Dade","Surfside","36"
"13Sweetwater",248,"Point",13,"USA","Florida","Dade","Sweetwater","13"
"13Tamiami",1400,"Point",13,"USA","Florida","Dade","Tamiami","0"
"13The Hammocks",1403,"Point",13,"USA","Florida","Dade","The Hammocks","0"
"13Three Lakes",1406,"Point",13,"USA","Florida","Dade","Three Lakes","0"
"13University Park",1401,"Point",13,"USA","Florida","Dade","University Park","0"
"13Village of Palmetto Bay",1342,"Point",13,"USA","Florida","Dade","Village of Palmetto Bay","0"
"13Virginia Gardens",247,"Point",13,"USA","Florida","Dade","Virginia Gardens","2"
"13West Little River",707,"Point",13,"USA","Florida","Dade","West Little River","0"
"13West Miami",1468,"Point",13,"USA","Florida","Dade","West Miami","50"
"13Westchester",1402,"Point",13,"USA","Florida","Dade","Westchester","0"
"13Westview",1399,"Point",13,"USA","Florida","Dade","Westview","0"
"13Westwood Lake",710,"Point",13,"USA","Florida","Dade","Westwood Lake","0"
"14Arcadia",341,"Point",14,"USA","Florida","Desoto","Arcadia","939"
"14Brownville",1262,"Point",14,"USA","Florida","Desoto","Brownville","0"
"14Cubitis",1261,"Point",14,"USA","Florida","Desoto","Cubitis","0"
"14Fort Ogden",819,"Point",14,"USA","Florida","Desoto","Fort Ogden","0"
"14Hull",818,"Point",14,"USA","Florida","Desoto","Hull","0"
"14Joshua",1258,"Point",14,"USA","Florida","Desoto","Joshua","0"
"14Lake Suzy",1257,"Point",14,"USA","Florida","Desoto","Lake Suzy","9"
"14Lansing",1259,"Point",14,"USA","Florida","Desoto","Lansing","0"
"14Nocatee",347,"Point",14,"USA","Florida","Desoto","Nocatee","10"
"14Pine Level",1260,"Point",14,"USA","Florida","Desoto","Pine Level","0"
"14Platt",1255,"Point",14,"USA","Florida","Desoto","Platt","0"
"14Southfort",1256,"Point",14,"USA","Florida","Desoto","Southfort","0"
"15Cross City",271,"Point",15,"USA","Florida","Dixie","Cross City","61"
"15Hines",728,"Point",15,"USA","Florida","Dixie","Hines","0"
"15Horseshoe Beach",733,"Point",15,"USA","Florida","Dixie","Horseshoe Beach","2"
"15Jena",729,"Point",15,"USA","Florida","Dixie","Jena","0"
"15Old Town",3,"Point",15,"USA","Florida","Dixie","Old Town","105"
"15Shamrock",727,"Point",15,"USA","Florida","Dixie","Shamrock","0"
"15Steinhatchee",1254,"Point",15,"USA","Florida","Dixie","Steinhatchee","3"
"15Suwannee",731,"Point",15,"USA","Florida","Dixie","Suwannee","0"
"16Atlantic Beach",388,"Point",16,"USA","Florida","Duval","Atlantic Beach","249"
"16Baldwin",399,"Point",16,"USA","Florida","Duval","Baldwin","13"
"16Beacon Hills",1354,"Point",16,"USA","Florida","Duval","Beacon Hills","0"
"16Beechwood",1361,"Point",16,"USA","Florida","Duval","Beechwood","0"
"16Biscayne Village",1345,"Point",16,"USA","Florida","Duval","Biscayne Village","0"
"16Cosmo",1356,"Point",16,"USA","Florida","Duval","Cosmo","0"
"16Deerwood Club",1367,"Point",16,"USA","Florida","Duval","Deerwood Club","0"
"16Dinsmore",1344,"Point",16,"USA","Florida","Duval","Dinsmore","3"
"16Duval",1350,"Point",16,"USA","Florida","Duval","Duval","0"
"16Gilmore",1355,"Point",16,"USA","Florida","Duval","Gilmore","0"
"16Goodbys",1365,"Point",16,"USA","Florida","Duval","Goodbys","0"
"16Highlands",1348,"Point",16,"USA","Florida","Duval","Highlands","0"
"16Holiday Harbor",1358,"Point",16,"USA","Florida","Duval","Holiday Harbor","0"
"16Jacksonville",393,"Point",16,"USA","Florida","Duval","Jacksonville","15196"
"16Jacksonville Beach",394,"Point",16,"USA","Florida","Duval","Jacksonville Beach","557"
"16Mayport",1353,"Point",16,"USA","Florida","Duval","Mayport","4"
"16Miramar Terrace",1364,"Point",16,"USA","Florida","Duval","Miramar Terrace","0"
"16Neptune Beach",389,"Point",16,"USA","Florida","Duval","Neptune Beach","116"
"16Oakwood Villa",1359,"Point",16,"USA","Florida","Duval","Oakwood Villa","0"
"16Plummer",1349,"Point",16,"USA","Florida","Duval","Plummer","0"
"16Riverview",1347,"Point",16,"USA","Florida","Duval","Riverview","0"
"16San Jose",1366,"Point",16,"USA","Florida","Duval","San Jose","0"
"16Sandalwood",1357,"Point",16,"USA","Florida","Duval","Sandalwood","0"
"16Sans Pareil",1362,"Point",16,"USA","Florida","Duval","Sans Pareil","0"
"16Sans Souci",1363,"Point",16,"USA","Florida","Duval","Sans Souci","0"
"16Sherwood Forest",1346,"Point",16,"USA","Florida","Duval","Sherwood Forest","0"
"16Southside Estates",1360,"Point",16,"USA","Florida","Duval","Southside Estates","0"
"17Barrineau Park",1268,"Point",17,"USA","Florida","Escambia","Barrineau Park","0"
"17Barth",1269,"Point",17,"USA","Florida","Escambia","Barth","0"
"17Bellview",1285,"Point",17,"USA","Florida","Escambia","Bellview","9"
"17Beulah",1280,"Point",17,"USA","Florida","Escambia","Beulah","0"
"17Bohema",1287,"Point",17,"USA","Florida","Escambia","Bohema","0"
"17Bratt",1273,"Point",17,"USA","Florida","Escambia","Bratt","0"
"17Brent",1286,"Point",17,"USA","Florida","Escambia","Brent","0"
"17Brownsville",1302,"Point",17,"USA","Florida","Escambia","Brownsville","0"
"17Byrneville",1272,"Point",17,"USA","Florida","Escambia","Byrneville","0"
"17Cantonment",1265,"Point",17,"USA","Florida","Escambia","Cantonment","398"
"17Century",1271,"Point",17,"USA","Florida","Escambia","Century","42"
"17Corry Station",1304,"Point",17,"USA","Florida","Escambia","Corry Station","0"
"17East Pensacola Heights",1292,"Point",17,"USA","Florida","Escambia","East Pensacola Heights","0"
"17Ensley",1278,"Point",17,"USA","Florida","Escambia","Ensley","0"
"17Farm Hill",1266,"Point",17,"USA","Florida","Escambia","Farm Hill","0"
"17Ferry Pass",1279,"Point",17,"USA","Florida","Escambia","Ferry Pass","0"
"17Gaberonne",1299,"Point",17,"USA","Florida","Escambia","Gaberonne","0"
"17Gonzalez",1264,"Point",17,"USA","Florida","Escambia","Gonzalez","3"
"17Goulding",1309,"Point",17,"USA","Florida","Escambia","Goulding","0"
"17Gulf Beach Heights",1282,"Point",17,"USA","Florida","Escambia","Gulf Beach Heights","0"
"17Gulf Breeze",1469,"Point",17,"USA","Florida","Escambia","Gulf Breeze","2"
"17Mcdavid",1276,"Point",17,"USA","Florida","Escambia","Mcdavid","26"
"17Molino",1277,"Point",17,"USA","Florida","Escambia","Molino","63"
"17Muscogee",1263,"Point",17,"USA","Florida","Escambia","Muscogee","0"
"17Mytrle Grove",1301,"Point",17,"USA","Florida","Escambia","Mytrle Grove","0"
"17Navarre",984,"Point",17,"USA","Florida","Escambia","Navarre","0"
"17Olive",1291,"Point",17,"USA","Florida","Escambia","Olive","0"
"17Paradise Beach",1308,"Point",17,"USA","Florida","Escambia","Paradise Beach","0"
"17Pensacola",983,"Point",17,"USA","Florida","Escambia","Pensacola","4467"
"17Pensacola Beach",1471,"Point",17,"USA","Florida","Escambia","Pensacola Beach","1"
"17Pine Forest",1289,"Point",17,"USA","Florida","Escambia","Pine Forest","0"
"17Pineville",1274,"Point",17,"USA","Florida","Escambia","Pineville","0"
"17Pleasant Grove",1305,"Point",17,"USA","Florida","Escambia","Pleasant Grove","0"
"17Quinavista",1307,"Point",17,"USA","Florida","Escambia","Quinavista","0"
"17Quintette",1267,"Point",17,"USA","Florida","Escambia","Quintette","0"
"17Ramsey Beach",1300,"Point",17,"USA","Florida","Escambia","Ramsey Beach","0"
"17Riverview",1288,"Point",17,"USA","Florida","Escambia","Riverview","0"
"17Sanders Beach",1303,"Point",17,"USA","Florida","Escambia","Sanders Beach","0"
"17Seaglades",1281,"Point",17,"USA","Florida","Escambia","Seaglades","0"
"17Tenile",1270,"Point",17,"USA","Florida","Escambia","Tenile","0"
"17Treasure Hill Park",1306,"Point",17,"USA","Florida","Escambia","Treasure Hill Park","0"
"17Walnut Hill",1275,"Point",17,"USA","Florida","Escambia","Walnut Hill","7"
"17Warrington",1283,"Point",17,"USA","Florida","Escambia","Warrington","0"
"17West Pensacola",1284,"Point",17,"USA","Florida","Escambia","West Pensacola","0"
"17Yniestra",1290,"Point",17,"USA","Florida","Escambia","Yniestra","0"
"18Beverly Beach",952,"Point",18,"USA","Florida","Flagler","Beverly Beach","1"
"18Bunnell",469,"Point",18,"USA","Florida","Flagler","Bunnell","67"
"18Dinner Island",951,"Point",18,"USA","Florida","Flagler","Dinner Island","0"
"18Dupont",966,"Point",18,"USA","Florida","Flagler","Dupont","0"
"18Espanola",961,"Point",18,"USA","Florida","Flagler","Espanola","0"
"18Favoretta",974,"Point",18,"USA","Florida","Flagler","Favoretta","0"
"18Flagler Beach",466,"Point",18,"USA","Florida","Flagler","Flagler Beach","60"
"18Korona",967,"Point",18,"USA","Florida","Flagler","Korona","0"
"18Marineland",933,"Point",18,"USA","Florida","Flagler","Marineland","0"
"18Palm Coast",459,"Point",18,"USA","Florida","Flagler","Palm Coast","469"
"18Roy",944,"Point",18,"USA","Florida","Flagler","Roy","0"
"19Apalachicola",505,"Point",19,"USA","Florida","Franklin","Apalachicola","25"
"19Carrabelle",6,"Point",19,"USA","Florida","Franklin","Carrabelle","10"
"19Creels",495,"Point",19,"USA","Florida","Franklin","Creels","0"
"19Eastpoint",21,"Point",19,"USA","Florida","Franklin","Eastpoint","15"
"19Lanark Village",484,"Point",19,"USA","Florida","Franklin","Lanark Village","0"
"19Saint Teresa",980,"Point",19,"USA","Florida","Franklin","Saint Teresa","0"
"1Alachua",463,"Point",1,"USA","Florida","Alachua","Alachua","158"
"1Archer",2,"Point",1,"USA","Florida","Alachua","Archer","48"
"1Arredondo",973,"Point",1,"USA","Florida","Alachua","Arredondo","0"
"1Backhamtown",1384,"Point",1,"USA","Florida","Alachua","Backhamtown","0"
"1Campville",958,"Point",1,"USA","Florida","Alachua","Campville","0"
"1Clark",956,"Point",1,"USA","Florida","Alachua","Clark","0"
"1Earleton",994,"Point",1,"USA","Florida","Alachua","Earleton","2"
"1Fairbanks",950,"Point",1,"USA","Florida","Alachua","Fairbanks","0"
"1Gainesville",471,"Point",1,"USA","Florida","Alachua","Gainesville","2126"
"1Haile",964,"Point",1,"USA","Florida","Alachua","Haile","0"
"1Hawthorne",472,"Point",1,"USA","Florida","Alachua","Hawthorne","33"
"1High Springs",461,"Point",1,"USA","Florida","Alachua","High Springs","47"
"1Island Grove",482,"Point",1,"USA","Florida","Alachua","Island Grove","0"
"1La Crosse",453,"Point",1,"USA","Florida","Alachua","La Crosse","5"
"1Lochloosa",977,"Point",1,"USA","Florida","Alachua","Lochloosa","0"
"1Micanopy",1,"Point",1,"USA","Florida","Alachua","Micanopy","20"
"1Newberry",477,"Point",1,"USA","Florida","Alachua","Newberry","106"
"1Orange Heights",955,"Point",1,"USA","Florida","Alachua","Orange Heights","0"
"1Paradise",959,"Point",1,"USA","Florida","Alachua","Paradise","0"
"1Rochelle",968,"Point",1,"USA","Florida","Alachua","Rochelle","0"
"1Santa Fe",447,"Point",1,"USA","Florida","Alachua","Santa Fe","8"
"1Tioga",993,"Point",1,"USA","Florida","Alachua","Tioga","6"
"1Waldo",454,"Point",1,"USA","Florida","Alachua","Waldo","10"
"20Chattahoochee",405,"Point",20,"USA","Florida","Gadsden","Chattahoochee","56"
"20Greensboro",422,"Point",20,"USA","Florida","Gadsden","Greensboro","17"
"20Gretna",417,"Point",20,"USA","Florida","Gadsden","Gretna","40"
"20Hardaway",873,"Point",20,"USA","Florida","Gadsden","Hardaway","0"
"20Havana",407,"Point",20,"USA","Florida","Gadsden","Havana","85"
"20Hinson",862,"Point",20,"USA","Florida","Gadsden","Hinson","0"
"20Jamieson",860,"Point",20,"USA","Florida","Gadsden","Jamieson","0"
"20Midway",425,"Point",20,"USA","Florida","Gadsden","Midway","61"
"20Oak Grove",864,"Point",20,"USA","Florida","Gadsden","Oak Grove","0"
"20Quincy",419,"Point",20,"USA","Florida","Gadsden","Quincy","508"
"21Bell",470,"Point",21,"USA","Florida","Gilchrist","Bell","58"
"21Fanning Springs",1473,"Point",21,"USA","Florida","Gilchrist","Fanning Springs","1"
"21Trenton",480,"Point",21,"USA","Florida","Gilchrist","Trenton","138"
"21Wannee",972,"Point",21,"USA","Florida","Gilchrist","Wannee","0"
"21Williford",960,"Point",21,"USA","Florida","Gilchrist","Williford","0"
"22Buckhead Ridge",797,"Point",22,"USA","Florida","Glades","Buckhead Ridge","0"
"22Goodno",840,"Point",22,"USA","Florida","Glades","Goodno","0"
"22Labelle",1474,"Point",22,"USA","Florida","Glade","Labelle","6"
"22Moore Haven",364,"Point",22,"USA","Florida","Glades","Moore Haven","262"
"22Palmdale",357,"Point",22,"USA","Florida","Glades","Palmdale","5"
"23Beacon Hill",497,"Point",23,"USA","Florida","Gulf","Beacon Hill","0"
"23Dalkeith",978,"Point",23,"USA","Florida","Gulf","Dalkeith","0"
"23Highland View",500,"Point",23,"USA","Florida","Gulf","Highland View","0"
"23Honeyville",976,"Point",23,"USA","Florida","Gulf","Honeyville","0"
"23Indian Pass",511,"Point",23,"USA","Florida","Gulf","Indian Pass","0"
"23Port Saint Joe",23,"Point",23,"USA","Florida","Gulf","Port Saint Joe","67"
"23Ward Ridge",502,"Point",23,"USA","Florida","Gulf","Ward Ridge","0"
"23Wewahitchka",474,"Point",23,"USA","Florida","Gulf","Wewahitchka","42"
"23White City",490,"Point",23,"USA","Florida","Gulf","White City","0"
"24Bakers Mill",850,"Point",24,"USA","Florida","Hamilton","Bakers Mill","0"
"24Genoa",858,"Point",24,"USA","Florida","Hamilton","Genoa","0"
"24Jasper",398,"Point",24,"USA","Florida","Hamilton","Jasper","357"
"24Jennings",390,"Point",24,"USA","Florida","Hamilton","Jennings","106"
"24White Springs",416,"Point",24,"USA","Florida","Hamilton","White Springs","40"
"25Bowling Green",301,"Point",25,"USA","Florida","Hardee","Bowling Green","135"
"25Fort Green",770,"Point",25,"USA","Florida","Hardee","Fort Green","0"
"25Gardner",790,"Point",25,"USA","Florida","Hardee","Gardner","0"
"25Lemon Grove",771,"Point",25,"USA","Florida","Hardee","Lemon Grove","0"
"25Limestone",792,"Point",25,"USA","Florida","Hardee","Limestone","0"
"25Ona",320,"Point",25,"USA","Florida","Hardee","Ona","11"
"25Wauchula",316,"Point",25,"USA","Florida","Hardee","Wauchula","333"
"25Zolfo Springs",328,"Point",25,"USA","Florida","Hardee","Zolfo Springs","73"
"26Clewiston",372,"Point",26,"USA","Florida","Hendry","Clewiston","697"
"26Denaud",644,"Point",26,"USA","Florida","Hendry","Denaud","0"
"26Felda",196,"Point",26,"USA","Florida","Hendry","Felda","22"
"26Fort Denaud",1475,"Point",26,"USA","Florida","Hendry","Fort Denaud","10"
"26Harlem",834,"Point",26,"USA","Florida","Hendry","Harlem","0"
"26La Belle",638,"Point",26,"USA","Florida","Hendry","La Belle","0"
"26Labelle",1476,"Point",26,"USA","Florida","Hendry","Labelle","481"
"26Port La Belle",640,"Point",26,"USA","Florida","Hendry","Port La Belle","0"
